Word,Count
the,211
tabla,170
la,169
de,168
for,116
para,112
to,107
--------------------------------------------------------,84
//,72
table,58
datos,58
base,57
Volcar,56
Estructura,56
a,53
of,50
and,49
is,43
,37
be,37
data,29
or,29
Dumping,29
structure,28
Table,28
Fin,28
in,28
an,28
Accion,27
calendar,27
popup,25
|,25
it,24
object,23
with,21
date,20
use,19
Set,19
this,19
you,19
not,18
on,18
Clase,18
will,17
=,17
window,17
digits),17
can,16
if,16
This,15
display,14
function,14
------------------------------------------------------------------,14
anchor,14
year,14
format,13
2003:,13
as,13
month,13
that,12
string,12
del,12
2,11
which,11
are,11
y,11
any,11
DIV,10
-,10
),10
If,10
may,10
default,10
from,10
(2,10
at,9
box,9
solid,9
relative,9
#DFEBF1;,9
The,9
select,9
1px,9
your,9
Show,8
text,8
contents,8
(1,8
functions,8
all,8
event,8
by,8
March,8
url,8
*,7
when,7
);,7
used,7
Added,7
do,7
IE,7
space,7
properties,7
\"\\,7
correctly,7
input,7
have,7
dates,7
`sys_config`,7
called,7
code,7
name,7
tag,7
`tipo_cuenta`,6
same,6
CSS,6
`cuenta`,6
method,6
`estado_item`,6
TD,6
positioning,6
new,6
Fixed,6
`rubro`,6
`sys_users_tipo_transporte`,6
support,6
`producto`,6
get,6
`item_pedido`,6
`lista_precio_vta`,6
`proveedor_producto`,6
no,6
define,6
`estado_producto`,6
`sucursal`,6
`sys_actions`,6
see,6
`sys_sections`,6
error,6
must,6
`sys_users`,6
`sys_permitions`,6
value,6
passed,6
`cliente`,6
download,6
</A>,6
handler,6
`sys_user_passwords`,6
NOT,6
`zona`,6
`transporte`,6
link,6
`sys_logs`,6
`pedido`,6
`sys_groups`,6
`tipo_transporte`,6
`sys_groups_actions`,6
You,6
Pass,6
`proveedor`,6
than,6
`estado_pedido`,6
navigation,6
`remito_factura`,6
day,6
should,6
other,5
For,5
CalendarPopup,5
days,5
prefix,5
Do,5
week,5
){,5
disabled,5
set,5
match,5
using,5
constructor,5
disable,5
form,5
abbreviations,5
returns,5
but,5
Code,5
Returns,5
output,5
When,5
uses,5
Hour,4
Create,4
bug,4
Versión,4
remove,4
changing,4
position,4
Hide,4
<A,4
\01,\,4
FILE:,4
sin,4
years,4
There,4
coordinates,4
\11,\,4
izquierda,4
there,4
'onmouseup',4
date.js,4
linea,4
only,4
texto,4
after,4
start,4
them,4
return,4
up,4
Netscape,4
two,4
.y,4
con,4
.x,4
Function,4
0,4
errors,4
change,4
-->,4
work,4
least,4
allow,4
MMM,4
without,4
version,4
AnchorPosition.js,4
WHERE,4
<A>,4
so,4
column,4
just,4
greater,4
receives,4
having,4
many,4
time,4
parameter,4
manually,4
SOURCE,4
Author:,4
type,4
named,4
PopupWindow,4
var,4
names,4
we,3
hide,3
matches:,3
between,3
MUST,3
YEAR,3
PopupWindow.js,3
2),3
NAME,3
'date',3
displayed,3
does,3
\anchor,\,3
\y,\,3
changed,3
<A></A>,3
COMPATABILITY:,3
Refresh,3
option,3
example:,3
write,3
\'"\.$id."\'\,3
http://www.phpmyadmin.net,3
elements,3
script,3
mm,3
3),3
phpMyAdmin,3
how,3
formatting,3
Your,3
small,3
Matt,3
localhost,3
built-in,3
user,3
site,3
parseDate(),3
my,3
different,3
make,3
ID,3
ignored,3
Over-ride,3
being,3
URL,3
values,3
detect,3
\ID="\test"\>\,3
1),3
already,3
WINDOW,3
style,3
go,3
buffer,3
It,3
usually,3
false,3
DESCRIPTION:,3
classes,3
immediately,3
2004:,3
null,3
each,3
By,3
occur,3
d,3
IE5.5,3
Window,3
Kruse,3
both,3
document,3
Windows,3
matches,3
was,3
they,3
under,3
Dump,3
first,3
SQL,3
one,3
$ok,3
example,3
attributes,3
following,3
individual,3
Property,3
contain,3
Default,3
**,3
appear,3
Nombre,3
current,3
NOTES:,3
Some,3
clicked,3
page,3
\NAME="\test"\\,3
Macintosh,3
id,3
platform,3
FROM,3
automatically,3
\4.x,\,3
Mozilla,2
getAnchorPosition(anchorname),2
en,2
$db->execute(,2
\function,\,2
'year',2
date2,2
\digits),\,2
\created,\,2
\colores,\,2
hijo,2
HISTORY,2
\anchorname,\,2
passing,2
except,2
look,2
20;,2
PHP:,2
modified:,2
\31,\,2
Http,2
2.9.1.1,2
before,2
writing,2
item,2
M/d/y,2
upper-left,2
\"\MMM\,2
strings,2
d/M/y,2
NULL,2
===================================================================,2
date1,2
optionally,2
causing,2
Servidor:,2
body,2
format_string,2
instead,2
Form,2
5.2.0,2
AND,2
formats,2
pixel,2
MM,2
supports,2
Anchor,2
Works,2
if(,2
Version:,2
menues,2
USAGE:,2
Populate,2
token,2
web,2
\2003"\,\,2
-------------------------------------------------------------------,2
IE5.0,2
notice,2
Date,2
select(),2
August,2
IE5,2
border-bottom:,2
Object(),2
countries,2
leap,2
weekdays,2
Return,2
line,2
/,2
bufferItem,2
},2
minor,2
Position,2
pixels,2
certain,2
getDateFromFormat(),2
tooltip,2
javascript,2
where,2
\quarter,\,2
call,2
#,2
separate,2
start-date,2
Requests,2
\date,\,2
el,2
.test(,2
\styles,\,2
Object,2
below,2
<SPAN,2
either,2
parent,2
`solpatagonico`,2
4),2
href,2
Sunday,2
general,2
Functions,2
through,2
border-top:,2
also,2
Month,2
format),2
this:,2
methods,2
Today,2
$db->Execute(,2
its,2
query,2
argument,2
Specify,2
ranges,2
back,2
Get,2
Check,2
(,2
elem,2
\6.x,\,2
styles,2
win,2
whitespace,2
Documents,2
sel(,2
\popup,\,2
\26,\,2
needed,2
defined,2
mean,2
include,2
\"\DELETE\,2
+,2
calculate,2
these,2
file,2
date_string,2
border-left:,2
fondo,2
Tiempo,2
content-box,2
op,2
added,2
strike-through,2
nombre,2
mappings,2
S.ID_PADRE,2
cal,2
then,2
==,2
Last,2
\POPUP,\,2
'mydiv',2
\29,\,2
menu,2
5.x,2
outline,2
like,2
$permiso->nombre,2
Copy,2
reference,2
don't,2
\displayed,\,2
las,2
autoHide(),2
Requires,2
optional,2
\month,\,2
variable,2
Year,2
HTML,2
TH,2
second,2
5.0.27,2
versions,2
getAnchorWindowPosition(anchorname),2
border-right:,2
XML,2
into,2
elem.click();,2
\14,\,2
January,2
objeto,2
doesn't,2
upper,2
files,2
\,\,2
attached,2
over,2
need,2
true,2
valid,2
datos:,2
\d,\,2
absolute,2
clickable,2
box-sizing,2
entire,2
corner,2
based,2
Changed,2
2000,2
Method,2
find,2
yyyy,2
generación:,2
provided,2
Day,2
issue,2
number,2
These,2
servidor:,2
CONSTRUCTOR,2
m,2
variables,2
1,2
positioned,2
author,2
references,2
Base,2
'.$_SERVER['HTTP_HOST'].'/'.CFG_dir);,2
\box,\,2
right,2
Modified,2
July,2
mz,2
\formats,\,2
\clicked,\,2
\"\Today"\\,2
IS,2
September,2
English,2
browser,2
takes,2
\"\.$tabla."\\,2
anything,2
titulo,2
\cal.select(inputObject,\,2
show,2
populating,2
\type="\button"\\,2
headers,2
inline,2
footer,2
recognized,1
error-handling,1
mozilla's,1
realiza,1
list,1
$rs->FetchNextObject(,1
\body,\,1
cal.setReturnQuarterFunction(functionname);,1
showYearNavigation,1
d-M-y,1
abbr.)|,1
address,1
<1970,1
AM/PM,1
original,1
2007,1
(name),1
mac,1
accessed,1
Reference,1
How,1
long,1
May,1
*NOT*,1
\column,\,1
inicio--menu'.$menu->id.'|'.$sub_ret.'//fin--menu'.$menu->ID;,1
(abbr),1
\"\static"\,\,1
problem,1
px,1
real,1
\win.setSize(width,height);\,1
\22,\,1
'quarter',1
sizes,1
deals,1
\17,\,1
next/last,1
definido,1
Direccion,1
\CSS,\,1
message,1
\purpose,\,1
10/11/02,1
Remove,1
try,1
light,1
\hh:mm:ssa"\\,1
proprietary,1
invalid,1
asyncronouse,1
null);,1
directory,1
jump,1
tries,1
point,1
httpProgid,1
M-d,1
WeekStartDay,1
interface,1
\onClick="\javascript:location\,1
Did,1
win.offsetY,1
place,1
backwards-compatability,1
getAnchorWindowPosition,1
logical,1
what,1
unit,1
Week,1
getTime(),1
\navigation,\,1
(abbr.),1
Javascript,1
relative),1
browsers,1
directly,1
eval(),1
2005:,1
Mihai,1
WHOLE,1
y-M-d,1
Jul,1
appreciated,1
'01/02/2000');,1
cal.setReturnYearFunction(functionname);,1
way,1
Solo,1
\others,\,1
\alert("\str:\,1
(0-7),1
<matt@mattkruse.com>,1
Carga,1
\cal.addDisabledDates("\2003-01-01"\);\,1
carga,1
documents/http,1
\example,\,1
\Tuedays,\,1
trailing,1
create,1
producto,1
constExpression,1
instruct,1
d.M.y,1
someone,1
CalendarPopup('mydiv');,1
permission,1
http://www.mattkruse.com/,1
containing,1
attach,1
\m,\,1
\year,\,1
links,1
Calendar,1
urls,1
\Bazon,\,1
downloadReady,1
re-distribute,1
\[,\,1
kk,1
mozilla,1
QUARTER,1
cal.hideCalendar();,1
******************************************************************************,1
Go,1
\method,\,1
handles,1
item_pedido,1
HH,1
Delete,1
parsing,1
SCREEN,1
But,1
\document,\,1
consists,1
Logic,1
future,1
\18,\,1
(1-24),1
date:,1
included!,1
\names,\,1
Doesn't,1
Separador,1
mouse,1
spaces,1
separtor,1
selecting,1
\dateFormat,\,1
tiene,1
cal.setYearSelectStartOffset(2);,1
5.2.0-8+etch4,1
Telefono,1
parts,1
source,1
\static,\,1
initiates,1
3,1
Field,1
\false;"\>Select</A>\,1
however,1
library,1
unique,1
01/20/00,1
M-d-y,1
vencimiento,1
sumar,1
border:,1
details,1
DIFFERENCE,1
----------------------,1
were,1
Empresa,1
SET,1
\wish,\,1
Fax,1
dirty,1
d-MMM,1
Time:,1
allowing,1
displays,1
Which,1
it:,1
\Month=MM,\,1
\12,\,1
cal.offsetX,1
actually,1
\"\NNN"\\,1
M/d,1
Browser,1
anchorname,1
Short,1
Feel,1
(American),1
11:40:35,1
Nov,1
02/16/04,1
