File,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
C:\Documents and Settings\181934\Desktop\Sol Patagonico E4Systems\Source Code\\Scripts SQL\dump_inicial.sql,1002,654,0,0,141,0,207,503,15,35
C:\Documents and Settings\181934\Desktop\Sol Patagonico E4Systems\Source Code\\solpatagonico\claves.php,16,13,7,1,3,0,0,0,0,0
C:\Documents and Settings\181934\Desktop\Sol Patagonico E4Systems\Source Code\\solpatagonico\index.php,69,68,5,2,1,0,0,0,0,0
C:\Documents and Settings\181934\Desktop\Sol Patagonico E4Systems\Source Code\\solpatagonico\login.php,239,233,76,28,3,0,3,13,0,0
C:\Documents and Settings\181934\Desktop\Sol Patagonico E4Systems\Source Code\\solpatagonico\menu.php,123,112,42,4,4,9,7,26,0,0
C:\Documents and Settings\181934\Desktop\Sol Patagonico E4Systems\Source Code\\solpatagonico\menuvertical.php,72,67,17,5,5,0,0,0,0,0
C:\Documents and Settings\181934\Desktop\Sol Patagonico E4Systems\Source Code\\solpatagonico\recupero.php,88,84,24,7,3,0,1,1,0,0
C:\Documents and Settings\181934\Desktop\Sol Patagonico E4Systems\Source Code\\solpatagonico\img\_notes\dwsync.xml,4,4,0,0,0,0,0,0,0,0
C:\Documents and Settings\181934\Desktop\Sol Patagonico E4Systems\Source Code\\solpatagonico\inc\conf.inc.php,121,110,83,5,11,1,0,1,0,0
C:\Documents and Settings\181934\Desktop\Sol Patagonico E4Systems\Source Code\\solpatagonico\inc\conf[1].inc.php,121,110,83,5,11,1,0,1,0,0
C:\Documents and Settings\181934\Desktop\Sol Patagonico E4Systems\Source Code\\solpatagonico\inc\file.php,29,25,20,3,4,0,0,0,0,0
C:\Documents and Settings\181934\Desktop\Sol Patagonico E4Systems\Source Code\\solpatagonico\inc\vcard.php,55,34,26,0,13,5,8,16,0,0
C:\Documents and Settings\181934\Desktop\Sol Patagonico E4Systems\Source Code\\solpatagonico\inc\download.xml,357,294,197,58,31,8,32,263,0,0
C:\Documents and Settings\181934\Desktop\Sol Patagonico E4Systems\Source Code\\solpatagonico\javascript\calendar.js,949,855,727,146,76,0,18,103,9,45
C:\Documents and Settings\181934\Desktop\Sol Patagonico E4Systems\Source Code\\solpatagonico\javascript\CalendarPopup.js,1461,961,765,194,54,3,446,2895,56,346
C:\Documents and Settings\181934\Desktop\Sol Patagonico E4Systems\Source Code\\solpatagonico\javascript\cssexpr.js,75,57,39,9,13,0,5,29,0,0
C:\Documents and Settings\181934\Desktop\Sol Patagonico E4Systems\Source Code\\solpatagonico\javascript\xajax.js,172,171,142,20,0,0,1,7,1,7
