File,Function,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD
C:\Documents and Settings\181934\Desktop\Sol Patagonico E4Systems\Source Code\\solpatagonico\login.php,elseif( $action == 'frmModificarClave' ),67,66,12,3,0,0,1,1,
C:\Documents and Settings\181934\Desktop\Sol Patagonico E4Systems\Source Code\\solpatagonico\menu.php,create_menu( $id_padre = 0 ),46,46,18,4,0,9,0,11,
C:\Documents and Settings\181934\Desktop\Sol Patagonico E4Systems\Source Code\\solpatagonico\menu.php,Ir( pagina ),3,3,3,0,0,0,0,0,
C:\Documents and Settings\181934\Desktop\Sol Patagonico E4Systems\Source Code\\solpatagonico\menuvertical.php,"create_menu( $id_padre = 0, $pos = 0, $last = false )",58,56,14,5,2,0,0,0,
C:\Documents and Settings\181934\Desktop\Sol Patagonico E4Systems\Source Code\\solpatagonico\inc\conf.inc.php,is_cuit( $S ),23,21,9,4,2,0,0,0,
C:\Documents and Settings\181934\Desktop\Sol Patagonico E4Systems\Source Code\\solpatagonico\inc\conf[1].inc.php,is_cuit( $S ),23,21,9,4,2,0,0,0,
C:\Documents and Settings\181934\Desktop\Sol Patagonico E4Systems\Source Code\\solpatagonico\inc\download.xml,function(),280,223,182,52,25,7,32,259,
C:\Documents and Settings\181934\Desktop\Sol Patagonico E4Systems\Source Code\\solpatagonico\javascript\calendar.js,"function(mondayFirst, dateStr, yourHandler, yourCloseHandler)",17,16,16,0,0,0,1,2,
C:\Documents and Settings\181934\Desktop\Sol Patagonico E4Systems\Source Code\\solpatagonico\javascript\calendar.js,function(el),8,8,8,2,0,0,0,0,
C:\Documents and Settings\181934\Desktop\Sol Patagonico E4Systems\Source Code\\solpatagonico\javascript\calendar.js,function(el),8,8,7,1,0,0,0,0,
C:\Documents and Settings\181934\Desktop\Sol Patagonico E4Systems\Source Code\\solpatagonico\javascript\calendar.js,function(el),7,7,6,1,0,0,0,0,
C:\Documents and Settings\181934\Desktop\Sol Patagonico E4Systems\Source Code\\solpatagonico\javascript\calendar.js,"function(el, evt)",17,17,13,6,0,0,0,0,
C:\Documents and Settings\181934\Desktop\Sol Patagonico E4Systems\Source Code\\solpatagonico\javascript\calendar.js,"function(year, month)",6,6,5,3,0,0,0,0,
C:\Documents and Settings\181934\Desktop\Sol Patagonico E4Systems\Source Code\\solpatagonico\javascript\calendar.js,"function(el, className)",12,12,9,3,0,0,0,0,
C:\Documents and Settings\181934\Desktop\Sol Patagonico E4Systems\Source Code\\solpatagonico\javascript\calendar.js,"function(el, className)",2,2,2,0,0,0,0,0,
C:\Documents and Settings\181934\Desktop\Sol Patagonico E4Systems\Source Code\\solpatagonico\javascript\calendar.js,function(ev),6,6,5,3,0,0,0,0,
C:\Documents and Settings\181934\Desktop\Sol Patagonico E4Systems\Source Code\\solpatagonico\javascript\calendar.js,function(ev),6,6,5,3,0,0,0,0,
C:\Documents and Settings\181934\Desktop\Sol Patagonico E4Systems\Source Code\\solpatagonico\javascript\calendar.js,function(ev),8,8,7,1,0,0,0,0,
C:\Documents and Settings\181934\Desktop\Sol Patagonico E4Systems\Source Code\\solpatagonico\javascript\calendar.js,"function(el, evname, func)",6,6,5,1,0,0,0,0,
C:\Documents and Settings\181934\Desktop\Sol Patagonico E4Systems\Source Code\\solpatagonico\javascript\calendar.js,"function(el, evname, func)",6,6,5,1,0,0,0,0,
C:\Documents and Settings\181934\Desktop\Sol Patagonico E4Systems\Source Code\\solpatagonico\javascript\calendar.js,function(el),7,7,6,4,0,0,0,0,
C:\Documents and Settings\181934\Desktop\Sol Patagonico E4Systems\Source Code\\solpatagonico\javascript\calendar.js,function(el),7,7,6,4,0,0,0,0,
C:\Documents and Settings\181934\Desktop\Sol Patagonico E4Systems\Source Code\\solpatagonico\javascript\calendar.js,function(ev),41,41,33,10,0,0,0,0,
C:\Documents and Settings\181934\Desktop\Sol Patagonico E4Systems\Source Code\\solpatagonico\javascript\calendar.js,function(ev),38,38,30,8,0,0,0,0,
C:\Documents and Settings\181934\Desktop\Sol Patagonico E4Systems\Source Code\\solpatagonico\javascript\calendar.js,function(ev),4,4,3,1,0,0,0,0,
C:\Documents and Settings\181934\Desktop\Sol Patagonico E4Systems\Source Code\\solpatagonico\javascript\calendar.js,function(),17,17,15,3,0,0,0,0,
C:\Documents and Settings\181934\Desktop\Sol Patagonico E4Systems\Source Code\\solpatagonico\javascript\calendar.js,function(fwd),32,32,27,6,0,0,0,0,
C:\Documents and Settings\181934\Desktop\Sol Patagonico E4Systems\Source Code\\solpatagonico\javascript\calendar.js,function(ev),19,19,17,3,0,0,0,0,
C:\Documents and Settings\181934\Desktop\Sol Patagonico E4Systems\Source Code\\solpatagonico\javascript\calendar.js,function(ev),8,8,8,0,0,0,0,0,
C:\Documents and Settings\181934\Desktop\Sol Patagonico E4Systems\Source Code\\solpatagonico\javascript\calendar.js,function(ev),21,21,19,2,0,0,0,0,
C:\Documents and Settings\181934\Desktop\Sol Patagonico E4Systems\Source Code\\solpatagonico\javascript\calendar.js,function(ev),5,5,4,1,0,0,0,0,
C:\Documents and Settings\181934\Desktop\Sol Patagonico E4Systems\Source Code\\solpatagonico\javascript\calendar.js,function(ev),12,12,9,4,0,0,0,0,
C:\Documents and Settings\181934\Desktop\Sol Patagonico E4Systems\Source Code\\solpatagonico\javascript\calendar.js,function(ev),8,8,7,2,0,0,0,0,
C:\Documents and Settings\181934\Desktop\Sol Patagonico E4Systems\Source Code\\solpatagonico\javascript\calendar.js,"function(a, b)",4,4,2,1,0,0,0,0,
C:\Documents and Settings\181934\Desktop\Sol Patagonico E4Systems\Source Code\\solpatagonico\javascript\calendar.js,function(el),75,75,58,16,0,0,0,0,
C:\Documents and Settings\181934\Desktop\Sol Patagonico E4Systems\Source Code\\solpatagonico\javascript\calendar.js,function(_par),147,126,114,12,17,0,4,21,
C:\Documents and Settings\181934\Desktop\Sol Patagonico E4Systems\Source Code\\solpatagonico\javascript\calendar.js,"function(mondayFirst, date)",71,71,56,11,0,0,0,0,
C:\Documents and Settings\181934\Desktop\Sol Patagonico E4Systems\Source Code\\solpatagonico\javascript\calendar.js,function(date),4,4,3,1,0,0,0,0,
C:\Documents and Settings\181934\Desktop\Sol Patagonico E4Systems\Source Code\\solpatagonico\javascript\calendar.js,function(mondayFirst),3,3,3,0,0,0,0,0,
C:\Documents and Settings\181934\Desktop\Sol Patagonico E4Systems\Source Code\\solpatagonico\javascript\calendar.js,function(),20,20,16,4,0,0,0,0,
C:\Documents and Settings\181934\Desktop\Sol Patagonico E4Systems\Source Code\\solpatagonico\javascript\calendar.js,function(unaryFunction),2,2,2,0,0,0,0,0,
C:\Documents and Settings\181934\Desktop\Sol Patagonico E4Systems\Source Code\\solpatagonico\javascript\calendar.js,"function(a, z)",3,3,3,0,0,0,0,0,
C:\Documents and Settings\181934\Desktop\Sol Patagonico E4Systems\Source Code\\solpatagonico\javascript\calendar.js,function(),4,4,3,1,0,0,0,0,
C:\Documents and Settings\181934\Desktop\Sol Patagonico E4Systems\Source Code\\solpatagonico\javascript\calendar.js,function(),5,5,4,1,0,0,0,0,
C:\Documents and Settings\181934\Desktop\Sol Patagonico E4Systems\Source Code\\solpatagonico\javascript\calendar.js,function(),5,5,5,0,0,0,0,0,
C:\Documents and Settings\181934\Desktop\Sol Patagonico E4Systems\Source Code\\solpatagonico\javascript\calendar.js,function(new_parent),4,4,4,0,0,0,0,0,
C:\Documents and Settings\181934\Desktop\Sol Patagonico E4Systems\Source Code\\solpatagonico\javascript\calendar.js,function(),3,3,3,0,0,0,0,0,
C:\Documents and Settings\181934\Desktop\Sol Patagonico E4Systems\Source Code\\solpatagonico\javascript\calendar.js,function(),2,2,2,0,0,0,0,0,
C:\Documents and Settings\181934\Desktop\Sol Patagonico E4Systems\Source Code\\solpatagonico\javascript\calendar.js,"function(x, y)",5,5,5,0,0,0,0,0,
C:\Documents and Settings\181934\Desktop\Sol Patagonico E4Systems\Source Code\\solpatagonico\javascript\calendar.js,function(el),3,3,3,0,0,0,0,0,
C:\Documents and Settings\181934\Desktop\Sol Patagonico E4Systems\Source Code\\solpatagonico\javascript\calendar.js,function(),3,3,3,0,0,0,0,0,
C:\Documents and Settings\181934\Desktop\Sol Patagonico E4Systems\Source Code\\solpatagonico\javascript\calendar.js,function(ev),20,20,18,2,0,0,0,0,
